name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
Mask Network,5.030320478,166189044.8,1243612311,7163804241,2023-04-26T16:28:00.000Z,503032047.8
FLOKI,3.82E-05,64746729.59,429373789.4,2261825696,2023-04-26T16:28:00.000Z,380033416.3
Oasis Network,0.064201868,43830234.42,293228973.6,1184700284,2023-04-26T16:28:00.000Z,642018684.3
Ethereum Name Service,12.54493602,26484685.91,195253938.5,699264477,2023-04-26T16:28:00.000Z,1254493602
NEM,0.038130835,11182184.21,74922265.3,317908618,2023-04-26T16:28:00.000Z,343177519.2
Solar,0.60914265,191908418.2,1406539609,5646196954,2023-04-26T16:28:00.000Z,340698005.8
Holo,0.001967295,19056039.79,132995859.6,503845886.7,2023-04-26T16:28:00.000Z,349429736.9
Terra,1.287455333,41610930.97,304020365.1,847748411.1,2023-04-26T16:28:00.000Z,1292943370
EthereumPoW,3.077499623,6641537.197,49985462.51,178437267.4,2023-04-26T16:28:00.000Z,331812929
Ankr,0.032923601,29621269.09,193189831.6,694083442.4,2023-04-26T16:28:00.000Z,329236010.8
Audius,0.318846156,21632521.15,159944983.4,697489481.3,2023-04-26T16:28:00.000Z,372293717.4
Theta Fuel,0.051792514,9657537.688,69726468.11,254063734.4,2023-04-26T16:28:00.000Z,316691027.6
Qtum,3.015241845,38939689.2,292957022.9,1020240926,2023-04-26T16:28:00.000Z,325110630.4
Balancer,6.400713449,4625379.49,29120809.25,132967280.6,2023-04-26T16:28:00.000Z,362830871.4
JasmyCoin,0.006589819,59140915.47,437777178.3,1647452944,2023-04-26T16:28:00.000Z,329490929.7
Ravencoin,0.024971023,12281599.45,82476644.47,488268725.1,2023-04-26T16:28:00.000Z,311283967.5
Celo,0.626444018,11337738.4,85366644.38,270286739.9,2023-04-26T16:28:00.000Z,626444018.2
Compound,41.59322678,17170163.28,123272958.7,447256726.9,2023-04-26T16:28:00.000Z,415932267.8
Chia,41.88006513,5803828.333,39255834.17,172810104.3,2023-04-26T16:28:00.000Z,1179135411
Blur,0.656500618,72281711.02,483252081.6,1805446670,2023-04-26T16:28:00.000Z,1969501854
Fetch.ai,0.357550127,67600276.14,454677559.1,1270861776,2023-04-26T16:28:00.000Z,412254429.4
Threshold,0.033574853,24101801.98,163012779.9,672865659.9,2023-04-26T16:28:00.000Z,353039583.3
Astar,0.0641158,8689882.455,65090281.73,228362238.1,2023-04-26T16:28:00.000Z,448810601.7
Gnosis,110.7952921,3032501.906,19712572.07,81392633.6,2023-04-26T16:28:00.000Z,332385876.2
Gala,0.0410994,155530871,1060754994,3736184170,2023-04-26T16:28:00.000Z,1448347475
yearn.finance,8646.602893,31740903.45,169922979.9,561002371.4,2023-04-26T16:28:00.000Z,316878236.1
Decred,19.07621879,1353354.118,8353902.831,40310540.85,2023-04-26T16:28:00.000Z,284323512.5
Harmony,0.021443462,23599764.69,156152241.4,623782492.4,2023-04-26T16:28:00.000Z,297445899.5
ssv.network,28.26780585,25361104.38,183562696.2,644882915.7,2023-04-26T16:28:00.000Z,311309699.3
ICON,0.295659511,22609297.84,153733563.3,683451799.3,2023-04-26T16:28:00.000Z,282437962.6
Kusama,32.28027865,12991706.94,82982262.66,307682734.5,2023-04-26T16:28:00.000Z,311543988.7
Helium,1.881719451,4729197.525,32772165.1,119764055.6,2023-04-26T16:28:00.000Z,419623437.6
LINK,40.21640788,549096.0812,3693648.179,13864328.07,2023-04-26T16:28:00.000Z,270835709.8
Arweave,8.00047301,9509272.054,62395402.3,222892867.8,2023-04-26T16:28:00.000Z,505553369.7
MAGIC,1.239420742,63761154.09,466824428.4,1393180030,2023-04-26T16:28:00.000Z,420963690.5
Bitcoin Gold,14.88416226,3367245.535,24161685.58,98587546.99,2023-04-26T16:28:00.000Z,260680080.4
STEPN,0.342773545,35410641.9,223241238.4,876459009,2023-04-26T16:28:00.000Z,1898061407
SushiSwap,1.084554946,30338353.2,226385239.4,815235800.1,2023-04-26T16:28:00.000Z,269540183.2
Bone ShibaSwap,1.081173059,8916606.875,65469752.04,281757259.1,2023-04-26T16:28:00.000Z,248673071.7
IoTeX,0.025495601,12245088.96,80679467.9,351034045.9,2023-04-26T16:28:00.000Z,240884026
Golem,0.239216432,6105140.228,43420671.88,157448374.5,2023-04-26T16:28:00.000Z,239216432
Ocean Protocol,0.38204677,17003148.8,130399163.7,530688276.6,2023-04-26T16:28:00.000Z,234232546.6
JUST,0.026221644,18981140.82,135189437.2,622478387.7,2023-04-26T16:28:00.000Z,259594271.3
Band Protocol,1.842224352,36685026.43,217688255.9,297053950.6,2023-04-26T16:28:00.000Z,246506582.1
